akun,komunitas,degree_centrality,betweenness,eigenvector,degree,ukuran_komunitas,skor_mencurigakan
1591441768444153856,29,0.004,0.0,0,1,9,0.021600000000000005
1436107139521540111,49,0.0081,0.0,0,2,10,0.021421818181818184
2031775372703059968,49,0.0081,0.0,0,2,10,0.021421818181818184
Djinggo9x,49,0.0081,0.0,0,2,10,0.021421818181818184
sparklingbeats,49,0.0081,0.0,0,2,10,0.021421818181818184
1216246444341911552,13,0.0081,0.0,0,2,11,0.019906666666666666
1865219945271037953,13,0.0081,0.0,0,2,11,0.019906666666666666
Momooo1717,49,0.004,0.0,0,1,10,0.019781818181818185
1812879112320765952,49,0.004,0.0,0,1,10,0.019781818181818185
1971013837341237248,49,0.004,0.0,0,1,10,0.019781818181818185
973938080729067521,49,0.004,0.0,0,1,10,0.019781818181818185
1618256734258171907,50,0.0121,0.0,0,3,13,0.019125714285714288
1707189150225715200,27,0.0202,0.0,0,5,18,0.018606315789473686
216279465,9,0.0242,0.0,0,6,22,0.018375652173913043
ojkindonesia,9,0.0242,0.0,0,6,22,0.018375652173913043
loftsoo,13,0.004,0.0,0,1,11,0.018266666666666667
idnnetizen,13,0.004,0.0,0,1,11,0.018266666666666667
zalkad,13,0.004,0.0,0,1,11,0.018266666666666667
sinau2024,13,0.004,0.0,0,1,11,0.018266666666666667
PutriKariimah,13,0.004,0.0,0,1,11,0.018266666666666667
seekracle,13,0.004,0.0,0,1,11,0.018266666666666667
laanaadeell,13,0.004,0.0,0,1,11,0.018266666666666667
Golkar5,22,0.0081,0.0,0,2,13,0.017525714285714283
324272456,50,0.0081,0.0,0,2,13,0.017525714285714283
gibran_tweet,22,0.0081,0.0,0,2,13,0.017525714285714283
garudatvnews,22,0.0081,0.0,0,2,13,0.017525714285714283
Gerindra,22,0.0081,0.0,0,2,13,0.017525714285714283
prabowo,22,0.0081,0.0,0,2,13,0.017525714285714283
psi_id,22,0.0081,0.0,0,2,13,0.017525714285714283
xxxxx0096,50,0.0081,0.0,0,2,13,0.017525714285714283
KonspirasiID_,22,0.0081,0.0,0,2,13,0.017525714285714283
setkabgoid,22,0.0081,0.0,0,2,13,0.017525714285714283
KemensetnegRI,22,0.0081,0.0,0,2,13,0.017525714285714283
IRTMillenial,50,0.0081,0.0,0,2,13,0.017525714285714283
1067520692,50,0.0081,0.0,0,2,13,0.017525714285714283
1554782833272823808,50,0.0081,0.0,0,2,13,0.017525714285714283
1755065485853589504,8,0.0121,0.0,0,3,15,0.01734
1830764157303693312,50,0.004,0.0,0,1,13,0.015885714285714284
150596327,50,0.004,0.0,0,1,13,0.015885714285714284
1342283787179151361,50,0.004,0.0,0,1,13,0.015885714285714284
r_kapau,22,0.004,0.0,0,1,13,0.015885714285714284
strrrgle,50,0.004,0.0,0,1,13,0.015885714285714284
